Date,Open,Close,Adjust,Volume,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
2/3/2017,1.814068636,1.792726652,30.86,479860,1218.5,1218.5,17.45299911,1.076171398,18918.19922,1.252003193,0.765462399,112.7890015,7188.299805,250.4600067,53.83000183,21.11000061,3.062999964,365.25,146.25,123.5749969,10.97000027,2.490999937,56.81000137,,,,,0,-0.055489158,-0.046952365,,57.87037037,43.97356758,37.03703704,57.87037037,,-74.35897436,0.969976905,,31.53785321,,,,85.71428571,0,-45.47008547,6.539638636,2.623578225,,VIC
2/6/2017,1.814068636,1.809800239,31.15,473180,1230,1230,17.66699982,1.078294992,18976.71094,1.248423815,0.767601073,112.6389999,7172.200195,251.6900024,53.00999832,21.18000031,3.049999952,363.75,144.1999969,123.5250015,11.36999989,2.413000107,55.72000122,,,,,0.017073587,-0.019207786,-0.034147174,,59.25925926,54.218107,66.66666667,59.25925926,,-53.84615385,0.98949825,,37.16833541,,,,78.57142857,21.42857143,-13.17952798,14.75093374,5.336220695,,VIC
2/7/2017,1.809800239,1.826873826,31.44,794850,1234.199951,1234.199951,17.7329998,1.074321628,18910.7793,1.246836066,0.764584482,111.8270035,7186.200195,249.7799988,52.16999817,20.71999931,3.130000114,368.5,142.6000061,124.2249985,11.28999996,2.388999939,55.04999924,,,,,0.055489158,0.006402595,-0.004268397,0.051220761,66.66666667,61.2654321,96.2962963,66.66666667,,-33.33333333,1.003516999,,39.88442264,,,,71.42857143,14.28571429,35.8974359,22.11972671,10.69457313,,VIC
2/8/2017,1.831142223,1.824739628,31.41,334800,1237.599976,1237.599976,17.68300056,1.067805648,19007.59961,1.249625087,0.762253225,112.387001,7188.799805,252.3000031,52.34000015,20.76000023,3.125999928,370.75,142.8999939,122.3000031,11.44999981,2.351000071,55.11999893,,,,,0.032012976,0.027744579,-0.010670992,0.029878778,82.39116309,69.43902967,84.21052632,82.39116309,,-35.8974359,1.01543943,,38.55482901,,,,64.28571429,7.142857143,74.29094236,20.7150933,13.33601335,,VIC
2/9/2017,1.826873826,1.820471231,31.33,282170,1235.099976,1235.099976,17.71999931,1.069221377,18907.66992,1.252803087,0.763172328,111.9520035,7229.5,264.4200134,53,20.64999962,3.141000032,369.5,145.1999969,123.625,10.88000011,2.394999981,55.63000107,,,,,0.006402595,0.027744579,-0.014939389,0.014939389,84.73034438,77.92939138,73.68421053,84.73034438,,-36.11111111,1.01547619,,33.42314582,,,,57.14285714,0,72,17.79682357,8.167840413,,VIC
2/10/2017,1.818337033,1.814068636,31.22,834560,1234.400024,1234.400024,17.91200066,1.065859437,19378.92969,1.249812484,0.762590408,113.4339981,7258.799805,264.5299988,53.86000061,20.42000008,3.03399992,374.5,145.75,122.0749969,10.85000038,2.40899992,56.70000076,,,,,0.021341984,0.021341984,-0.034147174,-0.025610381,71.15009747,79.42386831,55.55555556,71.15009747,,-33.33333333,1.011904762,,31.23710571,,,,50,0,33.47164592,13.36955136,7.047859346,,VIC
2/13/2017,1.814068636,1.814068636,31.22,316160,1224.400024,1224.400024,17.80400085,1.061954379,19459.15039,1.248455048,0.767012298,113.9140015,7278.899902,273.8299866,52.93000031,20,2.944000006,375.5,144.25,121.8249969,11.06999969,2.434000015,55.59000015,1.828691681,1.818097799,1.807503916,,0.004268397,0.021341984,-0.014939389,-0.029878778,60.72698085,72.20247423,52.94117647,60.72698085,,-28.57142857,1.011904762,,36.22148339,,,,42.85714286,0,46.20462046,13.36955136,7.047859346,,VIC
2/14/2017,1.818337033,1.816202834,31.26,496140,1223.900024,1223.900024,17.87199974,1.059849739,19238.98047,1.252301097,0.764239669,113.7050018,7268.600098,272,53.20000076,20.46999931,2.904999971,374.25,143.6499939,124,10.73999977,2.470000029,55.97000122,1.826996535,1.818719807,1.810443078,,-0.010670992,0.044818166,-0.004268397,-0.014939389,55.77342048,62.55016627,58.82352941,55.77342048,,-25,1.025301205,-0.290557266,43.28755404,,,-0.005267092,35.71428571,71.42857143,71.50537634,14.61022238,1.025537385,,VIC
2/15/2017,1.818337033,1.899436572,32.69,2270860,1231.699951,1231.699951,17.9470005,1.057831645,19437.98047,1.247038245,0.766929984,114.3010025,7302.399902,274.1300049,53.11000061,20.47999954,2.924999952,378.75,144.5,124.2750015,11.97000027,2.502000093,55.75,1.895225512,1.828474555,1.761723598,,0.074696944,0.10670992,0.102441523,0.064025952,68.07251202,61.52430445,92.45283019,68.07251202,,-6.25,1.05952381,-0.062475537,62.5686761,,,-0.001135503,28.57142857,100,270.5376344,46.68136302,38.18068008,,VIC
2/16/2017,1.899436572,1.878094588,32.33,871460,1240,1240,18.06299973,1.060737848,19347.5293,1.246976018,0.772147119,114.1119995,7277.899902,273.5700073,53.36000061,20.36000061,2.854000092,373.5,146.3000031,123.8249969,11.76000023,2.450000048,55.65000153,1.915834,1.842080846,1.768327693,,0.057623357,0.064025952,0.085367936,0.042683968,74.95375509,66.26656253,73.58490566,74.95375509,,-21.875,1.035294118,0.250214147,70.6382633,,,0.004555693,21.42857143,100,232.826087,32.89823433,38.18068008,,VIC
