Date,Open,Close,Volume,Down-F,Sp500,Nasdaq,Russel,NVDA,AMD,AVGO,QCOM,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,BTC-USD,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
1/31/2012,7.1,7.2,3327300,12577,1308.25,2464.25,,3.692500114,6.710000038,33.93999863,58.81999969,1737.800049,173.7799988,33.23300171,1.313956857,8802.509766,1.570845127,1.05860436,76.36000061,5681.600098,254.2799988,98.48000336,,23.63999939,2.503000021,639,215.0500031,155.5249939,19.44000053,1.799000025,110.9800034,,,,,0.8,0.8,0.2,,79.31623932,82.11775878,84.61538462,79.31623932,,-11.76470588,1.125,,57.17311224,,,,21.42857143,100,190.0343643,6.474820144,2.191987906,,VND
2/1/2012,7.3,7.4,3972400,12653,1319.75,2487.5,,3.732500076,6.900000095,34.61999893,59.56000137,1747.099976,174.7100067,33.77799988,1.307702422,8809.790039,1.576044083,1.060805321,76.26999664,5790.700195,258.4899902,97.61000061,,23.59000015,2.381999969,642,214.1000061,155.8500061,18.54999924,1.845999956,111.5599976,,,,,0.9,1.1,0.6,,89.31623932,84.35897436,100,89.31623932,,0,1.174603175,,66.44357376,,,,14.28571429,100,149.0808186,12.7816962,5.943528096,,VND
2/2/2012,7.4,7.7,2105900,12666,1322.75,2491.5,,3.872499943,6.929999828,35,60.72999954,1756.800049,175.6799927,34.15100098,1.317002535,8876.820313,1.584283829,1.071799874,76.18900299,5796.100098,258.2999878,96.36000061,,23.47999954,2.553999901,643,215.6000061,155.375,17.97999954,1.825000048,112.0699997,,,,,1,1.6,1.3,,94.87179487,87.83475783,100,94.87179487,,0,1.262295082,,75.55228456,,,,7.142857143,100,159.7740113,21.34938724,5.737475939,,VND
2/3/2012,8.1,7.6,5784100,12793,1339,2523,,3.954999924,7.079999924,35.13000107,61.06000137,1737.900024,173.7899933,33.72499847,1.313715219,8831.929688,1.580278158,1.070503354,76.18000031,5901.100098,264.2900085,97.83999634,,23.94000053,2.499000072,644.5,215.9499969,154.4499969,17.10000038,1.949000001,114.5800018,,,,,0.8,1.3,1.5,,86.66666667,90.28490028,60,86.66666667,,-25,1.206349206,,85.34035407,,,,0,100,147.0558882,17.2159964,21.30999132,,VND
2/6/2012,7.5,7.9,4479200,12776,1339,2525.75,,3.924999952,6.920000076,34.29999924,61.06999969,1722.800049,172.2799988,33.72200012,1.312714934,8929.200195,1.580303073,1.075199366,76.5510025,5892.200195,262.6199951,96.91000366,,24.5,2.549999952,644.25,218.8000031,154.125,17.76000023,1.901000023,115.9300003,,,,,0.8,1.3,1.9,,78.33333333,86.62393162,75,78.33333333,,-12.5,1.196969697,,86.69746634,,,,21.42857143,92.85714286,121.6968011,25.42291672,17.14181269,,VND
2/7/2012,7.9,8.1,5017500,12831,1344.75,2529.25,,3.934999943,7.130000114,34.58000183,61.54999924,1746.400024,174.6399994,34.16500092,1.31216383,8917.519531,1.581277728,1.072202086,76.55000305,5890.299805,262.8699951,98.41000366,,24.39999962,2.471999884,642.25,220.9499969,155,17.64999962,1.965999961,116.2300034,,,,,0.9,1.7,1.7,1.1,75.55555556,80.18518519,91.66666667,75.55555556,,-4.166666667,1.265625,,87.94044293,,,,14.28571429,85.71428571,122.3703704,30.37824236,20.09839476,,VND
2/8/2012,8.1,8.1,3122700,12843,1347,2544.75,,4.077499866,7.25,34.88000107,61.47000122,1729.300049,172.9299927,33.67300034,1.324854255,9015.589844,1.589319825,1.079797029,76.79000092,5875.899902,261.7000122,98.70999908,,24.47999954,2.447999954,642.5,220.0500031,155.2749939,18.15999985,1.975000024,117.1999969,,,,,0.7,1.6,1.8,1.3,78.88888889,77.59259259,70,78.88888889,,-11.53846154,1.246153846,,91.76083279,,,,7.142857143,100,128.2051282,30.37824236,28.357469,,VND
2/9/2012,8.1,7.8,4413400,12842,1348.25,2561,,4.074999809,7.239999771,35.13000107,61.93999863,1739,173.8999939,33.88399887,1.324854255,9002.240234,1.581277728,1.078795195,77.05999756,5895.5,262.0799866,99.83999634,,24.53000069,2.476999998,637,216,155.1499939,18.62999916,2.046999931,118.5899963,,,,,0.1,1.1,1.7,1.4,67.22222222,73.88888889,40,67.22222222,,-26.08695652,1.164179104,,82.25761366,,,,0,92.85714286,85.20179372,16.86911807,11.76852288,,VND
2/10/2012,7.7,7.5,3973800,12767,1340.5,2548.5,,3.974999905,7.050000191,34.49000168,61.72999954,1723.300049,172.3300018,33.57600021,1.327844977,8947.169922,1.581277728,1.076913118,77.63200378,5852.399902,253.4900055,98.66999817,,24.67000008,2.476999998,631.75,215.3000031,153.625,20.79000092,1.968999982,117.3099976,,,,,-0.1,0.7,1.2,1.4,40,62.03703704,10,40,,-39.13043478,1.102941176,,74.28855188,,,,14.28571429,85.71428571,35.70300158,5.137342308,4.496518045,,VND
2/13/2012,7.5,7.1,4388200,12835,1349,2567.75,,4.037499905,7.289999962,34.81000137,61.74000168,1723,172.3000031,33.69599915,1.323679328,8999.179688,1.578208208,1.070904613,77.69999695,5905.700195,251.9199982,100.9100037,,24.63999939,2.430999994,639.5,212.3000031,154.7250061,19.04000092,1.99000001,117.9300003,8.622985066,7.859833705,7.096682344,,-0.8,0,0.5,1.1,16.66666667,41.2962963,0,16.66666667,,-56.52173913,1,,70.73381403,,,,7.142857143,78.57142857,-22.69503546,-8.108051286,8.347311555,,VND
2/14/2012,7.1,7.5,3186800,12840,1347.75,2576,,4.059999943,7.320000172,34.50999832,61.70999908,1715.900024,171.5899963,33.32600021,1.315789461,9052.070313,1.572574258,1.070503354,77.51000214,5899.899902,246.6699982,100.7399979,,24.25,2.532000065,633.5,204.1999969,156.25,19.54000092,1.924000025,118.1600037,8.406520854,7.737192833,7.067864812,,-0.6,0.3,1.1,1.1,15.23809524,23.96825397,35.71428571,15.23809524,,-42.85714286,1.041666667,8.691657479,74.55251337,,,0.606410256,0,71.42857143,-16.03375527,4.807037591,8.347311555,,VND
2/15/2012,7.5,7.2,3203900,12763,1342.25,2557.5,,4.042500019,7.300000191,34.97999954,61.58000183,1726.300049,172.6300049,33.38600159,1.313370109,9260.339844,1.569119692,1.070400238,78.36000061,5892.200195,243.5899963,101.8000031,,24.48999977,2.424999952,627,200.3999939,156.625,21.13999939,1.930999994,118.9300003,8.097902692,7.601515746,7.1051288,,-0.9,-0.2,0.7,0.9,17.03296703,16.31257631,15.38461538,17.03296703,,-70.58823529,0.972972973,8.691262849,69.63212841,,,0.607051282,0,64.28571429,-55.07246377,-4.415932777,8.347311555,,VND
2/16/2012,7.2,7.4,2576500,12870,1354.75,2593.5,,4.112500191,7.590000153,35.86000061,62.27000046,1726.800049,172.6799927,33.35400009,1.305806875,9238.099609,1.568873644,1.068729997,78.48000336,5885.399902,249.3500061,102.3099976,,24.59000015,2.566999912,636.25,199.3000031,156.8249969,19.21999931,1.993000031,120.1100006,7.819923853,7.494962316,7.17000078,,-0.4,-0.3,0.7,1.3,33.6996337,21.99023199,50,33.6996337,,-58.82352941,0.961038961,8.571167216,69.5957624,,,0.600641026,7.142857143,57.14285714,-52.8,1.788957593,8.347311555,,VND
2/17/2012,7.4,7.8,4612300,12929,1359.75,2582,,3.962500095,7.420000076,35.24000168,62.52000046,1724.5,172.4499969,33.20000076,1.312680483,9384.169922,1.580777764,1.075060725,78.8239975,5905.100098,246.4100037,103.2399979,,24.62000084,2.684000015,641.75,200.0500031,158.4250031,17.78000069,2.00999999,119.5800018,7.961157197,7.471259249,6.9813613,,0.3,0.2,1,1.5,55.12820513,35.28693529,100,55.12820513,,-42.85714286,1.026315789,8.215323166,70.84254025,,,0.580128205,0,50,21.59383033,12.9328372,3.604885289,50.60812204,VND
2/20/2012,7.8,8.1,2468100,,,,,,,,,,,,1.322716355,9485.089844,1.586923718,1.080345273,79.78800201,5945.299805,,,,,,,,,,,,8.177139477,7.544683945,6.912228413,7.063333333,1,0.2,1,1.5,83.33333333,57.38705739,100,83.33333333,,-21.42857143,1.025316456,7.516163793,70.5333823,,,0.536538462,85.71428571,42.85714286,91.89189189,20.24244184,13.84057417,58.52251644,VND
2/21/2012,8.6,8.3,9625200,12945,1360,2591,,3.982500076,7.28000021,35.47000122,62.77999878,1757.099976,175.7100067,34.4129982,1.320480585,9463.019531,1.582829356,1.072202086,79.58599854,5928.200195,247.6199951,105.8399963,,25.35000038,2.625999928,629.5,204.6499939,158.6000061,18.19000053,2.045000076,121.6600037,8.520250981,7.694660283,6.869069585,7.106666667,0.8,0.2,1.1,1.9,93.75,77.40384615,81.25,93.75,,-18.75,1.024691358,7.007273372,73.84762279,,,0.506410256,78.57142857,100,152.2222222,24.77649378,27.63287723,58.97248244,VND
2/22/2012,8.2,9,4656400,12916,1356,2578.75,,3.954999924,7.139999866,35.90000153,62.54999924,1770,177,34.23899841,1.324327826,9554,1.579030514,1.066996694,79.83000183,5916.600098,241.6699982,106.2799988,,25.76000023,2.642999887,638.25,200.75,158.4250031,18.19000053,2.005000114,122.9000015,9.021563497,7.95273236,6.883901222,7.18,1.8,0.9,1.6,2.5,93.75,90.27777778,100,93.75,,0,1.111111111,6.797900262,75.18013319,,,0.498076923,71.42857143,100,180.2614379,38.0505795,36.40370319,69.25493009,VND
2/23/2012,9.2,9.3,5031800,12974,1363,2600.75,,3.977499962,7.289999962,37.18999863,63.50999832,1784.900024,178.4900055,35.54399872,1.325574279,9595.570313,1.567201614,1.062496066,80.27999878,5937.899902,243.0800018,107.8300018,,25.94000053,2.621000051,639.5,202,157.6499939,16.79999924,1.983999968,123.6200027,9.413645088,8.289367542,7.165089997,7.276666667,1.9,1.5,1.6,2.6,93.75,93.75,100,93.75,,0,1.192307692,6.485788114,75.24160143,,,0.482692308,64.28571429,100,191.3978495,42.71601476,42.07415319,72.47425516,VND
2/24/2012,9.5,9.2,5800300,12961,1363.25,2601.5,,3.94749999,7.460000038,36.31999969,63.43999863,1775.099976,177.5099945,35.33200073,1.337363362,9647.379883,1.574555159,1.072800279,79.93000031,5935.100098,244.9299927,109.7699966,,26.19000053,2.549999952,640.75,203.25,157.6750031,17.30999947,1.976999998,125.4700012,9.594922092,8.620037484,7.645152875,7.38,1.4,1.7,1.6,2.4,91.22807018,92.90935673,73.68421053,91.22807018,,-18.51851852,1.226666667,6.018989488,76.19098401,0.665663415,0.546304037,0.455128205,57.14285714,100,164.4107105,38.959319,48.64862939,67.28921872,VND
2/27/2012,9.1,9.6,4720800,12969,1367.25,2608,,3.867500067,7.46999979,36.97999954,63.31000137,1773.599976,,35.51599884,1.346710682,9633.929688,1.588688493,1.069518685,81.47100067,5915.600098,244.0899963,108.5599976,,26.5,2.446000099,644.5,204.4499969,156.4499969,18.19000053,1.922000051,124.1699982,9.813264371,8.942402728,8.071541086,7.5,1.5,2.5,1.7,2.5,87.06140351,90.67982456,87.5,87.06140351,,-7.142857143,1.352112676,6.219776555,76.41153071,0.719667562,0.580976742,0.478205128,50,100,137.7685378,45.17587305,50.17125594,67.22300256,VND
2/28/2012,9.4,8.8,7670800,12997,1371.5,2632,,3.832499981,7.519999981,37.00999832,62.68000031,1787,178.8399963,37.13999939,1.34066236,9722.519531,1.583280444,1.075916648,80.46399689,5927.899902,242.8999939,106.5500031,,26.09000015,2.519000053,653.5,206.1499939,155.75,17.95999908,1.92900002,121.5500031,9.673315922,9.130729523,8.588143125,7.58,0.5,1.3,0.7,1.6,66.22807018,81.50584795,37.5,66.22807018,,-35.71428571,1.173333333,6.457199406,65.71351366,0.6899595,0.602773293,0.501923077,42.85714286,92.85714286,81.86366479,19.05968671,41.15644252,56.29451781,VND
2/29/2012,8.7,9.2,5267900,12937,1364.5,2623,,3.787499905,7.349999905,37.61000061,62.18000031,1709.900024,171.1300049,34.58300018,1.347799778,9723.240234,1.592204571,1.079960227,80.48000336,5871.5,238.9499969,107.0699997,,25.65999985,2.615999937,656.5,203.1499939,157.2250061,18.43000031,1.976999998,122.6600037,9.752578127,9.240328188,8.728078249,7.676666667,0.2,2,1.1,1.8,58.33333333,70.54093567,50,58.33333333,,-21.42857143,1.277777778,7.223035627,70.15351396,0.690729999,0.620364635,0.569230769,35.71428571,85.71428571,69.95884774,26.20763541,32.58509103,57.90942901,VND
3/1/2012,9.1,9.2,4058800,12973,1374.5,2643.25,,3.8125,7.510000229,37.31999969,62.61000061,1721.099976,172.2200012,35.61100006,1.33209002,9707.370117,1.592356682,1.074113846,81.27600098,5931.299805,242.4499969,108.8399963,,24.85000038,2.463000059,653.75,204,158.5749969,17.26000023,2.036999941,126.1999969,9.805680156,9.29971573,8.793751305,7.78,-0.1,1.8,1.4,1.5,45.83333333,56.79824561,50,45.83333333,,-21.42857143,1.243243243,7.602761721,76.29573757,0.683462098,0.632984127,0.607051282,28.57142857,78.57142857,66.25514403,26.20763541,32.58509103,60.68979503,VND
