Date,Open,Close,Volume,Down-F,Sp500,Nasdaq,Russel,NVDA,AMD,AVGO,QCOM,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,BTC-USD,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
2017-01-03,58.00181214109225,57.80782699584961,20694100,19798.0,2252.5,4906.25,,25.502500534057617,11.430000305175781,178.33999633789062,65.4000015258789,1160.4000244140625,1162.0,16.356000900268555,1.0460032224655151,,1.2281994819641113,0.7196833491325378,117.49500274658203,7177.89990234375,253.41000366210938,52.33000183105469,,20.510000228881836,3.3269999027252197,355.75,137.39999389648438,130.1999969482422,12.850000381469727,2.450000047683716,55.470001220703125,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT
2017-01-04,57.71545307270798,57.54917907714844,21340000,19856.0,2264.25,4933.5,,26.09749984741211,11.430000305175781,177.07000732421875,65.47000122070312,1163.800048828125,1165.300048828125,16.499000549316406,1.0419923067092896,19594.16015625,1.2245597839355469,0.7229925990104675,117.65899658203125,7189.7001953125,263.260009765625,53.2599983215332,,20.889999389648438,3.2669999599456787,359.75,141.8000030517578,128.5,11.850000381469727,2.4519999027252197,56.459999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT
2017-01-05,57.447566799439905,57.54917907714844,24876000,19821.0,2264.25,4962.0,,25.434999465942383,11.239999771118164,174.27999877929688,65.55000305175781,1179.699951171875,1181.300048828125,16.583999633789062,1.0500892400741577,19520.689453125,1.2326807975769043,0.7287036180496216,117.11299896240234,7195.2998046875,261.1400146484375,53.7599983215332,,20.780000686645508,3.2730000019073486,361.25,143.75,128.25,11.670000076293945,2.368000030517578,56.88999938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT
2017-01-06,57.54917835527178,58.04800033569336,19922900,19897.0,2271.5,5004.0,,25.774999618530273,11.319999694824219,176.58999633789062,65.52999877929688,1171.9000244140625,1173.4000244140625,16.465999603271484,1.0605915784835815,19454.330078125,1.2425447702407837,0.7338372468948364,115.26499938964844,7210.10009765625,256.239990234375,53.9900016784668,,20.75,3.2850000858306885,358.0,142.85000610351562,128.3249969482422,11.319999694824219,2.4179999828338623,57.099998474121094,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT
2017-01-09,57.97409124216222,57.863243103027344,20382700,19828.0,2265.0,5022.0,,26.81999969482422,11.489999771118164,176.97000122070312,65.6500015258789,1183.5,1184.9000244140625,16.6299991607666,1.0531858205795288,,1.2260912656784058,0.7312079668045044,117.1500015258789,7237.7998046875,250.99000549316406,51.959999084472656,,20.420000076293945,3.1029999256134033,360.0,144.1999969482422,129.27499389648438,11.5600004196167,2.375999927520752,54.939998626708984,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT
2017-01-10,57.946384609251346,57.84477233886719,18593000,19788.0,2263.75,5031.25,,26.61750030517578,11.4399995803833,180.57000732421875,65.62999725341797,1184.199951171875,1185.5,16.80299949645996,1.0588620901107788,19301.439453125,1.2173447608947754,0.7359976172447205,115.98500061035156,7275.5,259.1099853515625,50.81999969482422,,20.479999542236328,3.2780001163482666,358.25,147.6999969482422,132.6999969482422,11.489999771118164,2.378999948501587,53.63999938964844,,,,,0.036945343017578125,,,,,,,,,,,,,,,,,,,,,,MSFT
2017-01-11,57.83552703218704,58.37129592895508,21517300,19877.0,2270.5,5046.5,,26.290000915527344,11.199999809265137,179.4199981689453,66.0999984741211,1195.5999755859375,1196.5999755859375,16.783000946044922,1.0552419424057007,19364.669921875,1.2174336910247803,0.7361602187156677,115.87200164794922,7290.5,258.45001220703125,52.25,,20.559999465942383,3.2239999771118164,357.25,149.0,132.0500030517578,11.260000228881836,2.369999885559082,55.099998474121094,,,,,0.8221168518066406,,,,,,96.66655197858482,67.93601592319293,,,,,,,,,,,,,,,MSFT
2017-01-12,58.251214235053006,57.83552932739258,20968200,19803.0,2263.5,5034.75,,25.860000610351562,10.760000228881836,178.86000061035156,66.12000274658203,1198.9000244140625,1199.800048828125,16.780000686645508,1.0597710609436035,19134.69921875,1.2214486598968506,0.7447125315666199,115.0979995727539,7292.39990234375,252.33999633789062,53.0099983215332,,20.760000228881836,3.385999917984009,358.25,149.60000610351562,130.3249969482422,11.539999961853027,2.3610000610351562,56.0099983215332,,,,,0.2863502502441406,,,,,,45.51720690644051,64.95394966620643,,,,,,,,,,,,,,,MSFT
2017-01-13,57.8447809729698,57.91868209838867,19422300,19832.0,2272.5,5061.25,,25.857500076293945,10.579999923706055,180.4499969482422,66.87999725341797,1195.300048828125,1196.199951171875,16.719999313354492,1.0616837739944458,19287.279296875,1.2165449857711792,0.7488393187522888,114.66400146484375,7337.7998046875,252.11000061035156,52.369998931884766,,20.520000457763672,3.4189999103546143,358.5,149.3000030517578,130.4499969482422,11.229999542236328,2.380000114440918,55.45000076293945,,,,,-0.1293182373046875,,,,64.63634947413772,65.84210502117902,51.725289537387845,64.63634947413772,,,,,,,,,,,,,,,MSFT
2017-01-17,57.90019765298997,57.761634826660156,20664000,19743.0,2262.75,5040.25,,25.27750015258789,9.819999694824219,179.11000061035156,64.19000244140625,1212.0,1212.9000244140625,17.101999282836914,1.0602991580963135,18813.529296875,1.2040214538574219,0.7473283410072327,114.1520004272461,7220.39990234375,250.1699981689453,52.47999954223633,,20.729999542236328,3.4119999408721924,365.5,149.89999389648438,130.9250030517578,11.869999885559082,2.3269999027252197,55.470001220703125,,,,,-0.1016082763671875,,,,45.74761056037372,58.445969900239284,40.00033523729283,45.74761056037372,,,,,,,,,,,,,,,MSFT
