Date,Open,Close,Volume,Down-F,Sp500,Nasdaq,Russel,NVDA,AMD,AVGO,QCOM,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,BTC-USD,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
2/16/2017,45.35,44.7,4491020,20594,2345.5,5300.5,,26.8125,12.97000027,208.1799927,56.88000107,1240,1240,18.06299973,1.060737848,19347.5293,1.246976018,0.772147119,114.1119995,7277.899902,273.5700073,53.36000061,,20.36000061,2.854000092,373.5,146.3000031,123.8249969,11.76000023,2.450000048,55.65000153,45.61685375,45.03238819,44.44792262,43.43666667,0.15,2,3.25,1.05,55.55555556,60.48100556,30.43478261,55.55555556,0.070451715,-22.53521127,1.046838407,1.763750461,67.5659568,0.634324149,0.465125172,0.765705128,0,85.71428571,66.64405246,23.71776484,46.29019305,38.99789059,HPG
2/17/2017,44.5,44.3,5439270,20588,2348,5325.75,,26.80750084,13.13000011,210.4100037,56.45999908,1237.599976,1237.599976,18.0189991,1.067224503,19234.61914,1.248922825,0.769822955,113.3050003,7300,273.1799927,53.40000153,,20.29999924,2.834000111,368.25,147.8000031,124.0749969,11.48999977,2.424999952,55.81000137,45.62091829,45.00447689,44.38803549,43.47333333,-0.05,1.1,2.1,1.1,43.1372549,54.46722803,29.41176471,43.1372549,0.074571157,-33.8028169,1.025462963,2.129559916,60.448622,0.590740058,0.490248149,0.924679487,7.142857143,78.57142857,13.31220285,13.9705953,20.84719742,39.75955117,HPG
2/20/2017,42.8,42,13251990,,,,,,,,,,,,1.062665343,19251.08008,1.243394494,0.766800642,112.9110031,7299.899902,,,,,,,,,,,,46.95863489,44.62625413,42.29387338,43.435,-2.75,-2.1,0,0,23.36765252,40.68682099,10.25641026,23.36765252,0.076865329,-89.74358974,0.952380952,2.121857124,50.31277341,0.366385114,0.465475542,0.920192308,100,71.42857143,-149.6890672,-23.39986908,17.10555715,33.95969508,HPG
2/21/2017,41.85,42.25,4324840,20688,2360,5343.75,,27.76749992,14,212.75,56.75,1237.5,1237.5,17.98999977,1.060940385,19381.43945,1.247333765,0.768875897,113.2799988,7274.799805,277.3299866,54.06000137,,20.79999924,2.563999891,369.25,150.3500061,124.5500031,11.56999969,2.427000046,56.65999985,46.66294852,44.06248703,41.46202553,43.37666667,-2.85,-2.35,0.25,0.25,18.92447937,28.47646227,17.10526316,18.92447937,0.077778526,-83.33333333,0.947309417,2.020739952,46.82217333,0.206376139,0.413655661,0.875641026,92.85714286,64.28571429,-150.9047994,-18.83855583,17.10555715,39.13342643,HPG
2/22/2017,42.2,40.2,7920920,20749,2361,5351,,27.69000053,14.27999973,214.1600037,57.09999847,1232,1232,17.94199944,1.054207325,19379.86914,1.248704433,0.767636418,113.6689987,7302.299805,272.8099976,53.59000015,,20.70999908,2.592000008,371,149.1999969,125.0999985,11.73999977,2.417999983,55.84000015,46.52337063,43.23679186,39.95021309,43.25,-4.95,-4.45,-2.1,-1.4,10.36666372,17.55293187,3.738317757,10.36666372,0.076231316,-96.36363636,0.900335946,1.59988127,41.24917599,-0.084871646,0.3139502,0.691025641,100,57.14285714,-201.9133433,-38.81155045,34.89144038,30.99127352,HPG
2/23/2017,40.2,40.6,4987400,20797,2362.75,5332,,25.12249947,14.31999969,210.5800018,57.13999939,1250.199951,1250.199951,18.11300087,1.055408955,19371.46094,1.245376587,0.769704401,113.4169998,7271.399902,260.6499939,54.45000076,,20.15999985,2.617000103,365.5,147.8500061,125.1500015,11.71000004,2.388000011,56.58000183,45.26653338,42.37267782,39.47882226,43.13333333,-4.1,-3.95,-2.1,-0.85,11.29568639,13.52894316,13.04347826,11.29568639,0.072927504,-89.09090909,0.911335578,1.134333691,34.72057986,-0.280181203,0.195123919,0.488461538,92.85714286,50,-161.2044456,-31.98638226,34.89144038,32.76369512,HPG
2/24/2017,40.5,40.45,2422300,20787,2365,5343.25,,25.36499977,14.11999989,210.3699951,57.22000122,1256.900024,1256.900024,18.33499908,1.05844748,19283.53906,1.25561893,0.771307409,112.6819992,7243.700195,260.3200073,53.99000168,,19.79999924,2.627000093,364,144.3999939,121.6999969,11.47000027,2.316999912,55.99000168,43.30222728,41.60163915,39.90105102,43.035,-3.85,-3.9,-2.75,-1.75,10.7663458,10.8095653,15.51724138,10.7663458,0.068115256,-91.81818182,0.912063134,0.609100681,29.50553563,-0.441974374,0.067704261,0.261538462,85.71428571,42.85714286,-125.7072571,-33.31060333,34.89144038,31.55307712,HPG
2/27/2017,40.25,40.25,3949350,20813,2368.25,5347.5,,26.10250092,15.19999981,213.2799988,56.72999954,1257.400024,1258.800049,18.35400009,1.055275321,19107.4707,1.239956379,0.767047644,112.1880035,7253,267.3200073,54.04999924,,19.09000015,2.693000078,360.25,139.1000061,123.8499985,12.09000015,2.368999958,55.93000031,42.49786828,40.97077955,39.44369081,42.93833333,-1.75,-4.5,-3.85,-1.75,14.74899805,12.27034341,15.68627451,14.74899805,0.061984954,-92.92035398,0.899441341,0.038918077,18.94004196,-0.579653077,-0.061767207,0.016666667,100,35.71428571,-109.4612352,-35.12432209,37.43190452,34.221721,HPG
2/28/2017,40.5,40,2584610,20807,2362.75,5332.25,,25.37000084,14.46000004,210.9299927,56.47999954,1252.599976,1253.900024,18.42000008,1.058425069,19118.99023,1.243935823,0.767636418,112.7450027,7263.399902,266.7099915,54.00999832,,19.30999947,2.773999929,366.75,140.6999969,125.0749969,12.92000008,2.35800004,55.59000015,40.88791525,40.47318642,40.0584576,42.81,-2.25,-5.1,-4.6,-2,12.40117196,12.6388386,6,12.40117196,0.05467769,-97.34513274,0.88691796,-0.629058137,22.77035648,-0.700858293,-0.189585424,-0.268910256,92.85714286,28.57142857,-90.81885856,-37.41558054,31.88984699,30.39508488,HPG
3/1/2017,39.95,40.9,3802640,21091,2393.5,5386,,25.69750023,14.96000004,215.1399994,57.00999832,1248.900024,1250,18.44300079,1.056914806,19393.53906,1.237807631,0.764228046,113.0770035,7382.899902,273.9599915,53.83000183,,19.47999954,2.799000025,375.75,142.6499939,124.5,12.53999996,2.463000059,55.59999847,40.82719508,40.21596681,39.60473854,42.70666667,0.7,-4.25,-3.75,-1.4,38.47875817,21.87630939,93.75,38.47875817,0.047051436,-75.40983607,0.905869324,-1.281878086,19.63492731,-0.716037784,-0.294875896,-0.547435897,100,21.42857143,-73.42454395,-20.86611682,38.31869212,44.13271658,HPG
