Date,Open,Close,Adj Close,Volume,Down-F,Sp500,Nasdaq,Russel,Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Usd_jpy,Fste,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
2010-01-20,30.809999465942383,30.59000015258789,23.523386001586914,54849500,10557.0,1134.0,1867.0,1867.0,1867.0,17.865999221801758,1.4110342264175415,10737.51953125,1.6298059225082397,91.19200134277344,5420.7998046875,29.110000610351562,5.495999813079834,368.0,139.1999969482422,97.92500305175781,18.68000030517578,3.6589999198913574,76.31999969482422,,,,,0.5200004577636719,-0.3699989318847656,,,69.35228175962929,73.57990369763722,47.15448289123147,69.35228175962929,,,0.9880491297536785,,,,,,,,,,,,MSFT
2010-01-21,30.610000610351562,30.010000228881836,23.07737159729004,73086700,10338.0,1111.0,1841.0,1841.0,1841.0,17.496000289916992,1.4097015857696533,10868.41015625,1.620509147644043,90.39299774169922,5335.10009765625,29.260000228881836,5.614999771118164,372.0,138.6999969482422,97.42500305175781,22.270000457763672,3.6110000610351562,74.58000183105469,,,,,-0.3400001525878906,-0.7600002288818359,,,45.81156086966695,66.06989785352734,0.8064702199757889,45.81156086966695,,-92.48117389427551,0.9753006104135407,,,,,,,,-107.72408324633089,,,,MSFT
2010-01-22,30.0,28.959999084472656,22.269929885864258,102004600,10151.0,1091.0,1797.75,1797.75,1797.75,16.917999267578125,1.414107084274292,10590.5498046875,1.611006498336792,89.80999755859375,5303.0,28.780000686645508,5.818999767303467,364.75,139.60000610351562,97.0999984741211,27.309999465942383,3.5980000495910645,72.83000183105469,,,,,-2.0,-1.4900016784667969,,,17.653636467042475,44.2724930321129,4.999956289920218,17.653636467042475,,-95.00004371007978,0.9510672695850875,,45.070623254315905,,,,100.0,78.57142857142857,-240.25839995624554,-29.45739586090243,41.59045323835262,,MSFT
2010-01-25,29.239999771118164,29.31999969482422,22.546768188476562,63373000,10140.0,1092.5,1798.5,1798.5,1798.5,17.131000518798828,1.4150075912475586,10512.6904296875,1.6250121593475342,90.41500091552734,5260.2998046875,29.799999237060547,5.7220001220703125,367.75,139.39999389648438,96.5250015258789,25.40999984741211,3.630000114440918,73.69000244140625,,,,,-1.5400009155273438,-1.3400001525878906,-1.1599998474121094,,8.60213687177383,24.022444736161077,19.999984105425533,8.60213687177383,,-80.00001589457447,0.9562948415115209,,46.459178241173646,,,,92.85714285714286,71.42857142857143,-179.18836829963016,-20.41043564693909,41.59045323835261,,MSFT
2010-01-26,29.200000762939453,29.5,22.68518829345703,66639900,10138.0,1087.25,1796.5,1796.5,1796.5,16.84600067138672,1.4082324504852295,10325.2802734375,1.614700198173523,89.62999725341797,5276.89990234375,29.299999237060547,5.485000133514404,362.25,138.25,96.6500015258789,24.549999237060547,3.630000114440918,73.29000091552734,,,,,-1.6000003814697266,-0.7700004577636719,-1.4500007629394531,,18.809499616252907,15.02175765168973,31.42855845341302,18.809499616252907,,-72.50000198682181,0.9745622581394384,,47.302977735309575,,,,85.71428571428572,64.28571428571429,-127.83082191162187,-16.043746825152223,33.40830297050661,,MSFT
2010-01-27,29.350000381469727,29.670000076293945,22.815916061401367,63949500,10195.0,1094.5,1809.0,1809.0,1809.0,16.42799949645996,1.4030951261520386,10252.080078125,1.6178088188171387,89.94999694824219,5217.5,28.360000610351562,5.27400016784668,358.25,133.5500030517578,96.6500015258789,23.139999389648438,3.6440000534057617,72.23999786376953,,,,,-0.9200000762939453,-0.39999961853027344,-1.289999008178711,,31.85916479299587,19.75693376034086,44.148951820149115,31.85916479299587,,-65.4166643487079,0.9866977179052275,,54.07195919060387,,,,78.57142857142857,57.142857142857146,-101.43755600870108,-11.915745143078398,34.90087278269272,,MSFT
2010-01-28,29.84000015258789,29.15999984741211,22.423725128173828,117513700,10062.0,1079.25,1770.5,1770.5,1770.5,16.20199966430664,1.3968042135238647,10414.2900390625,1.614309310913086,89.77799987792969,5145.7001953125,29.0,5.138000011444092,361.75,132.9499969482422,96.80000305175781,23.729999542236328,3.6579999923706055,72.12999725341797,,,,,-0.8500003814697266,-1.1900005340576172,-1.6100006103515625,,33.03562967972382,27.90143136299086,23.529378765609398,33.03562967972382,,-86.66667726304965,0.9607907571960304,,50.53444213130314,,,,71.42857142857143,50.0,-104.28005169994213,-20.995533124378298,37.69393341249303,,MSFT
2010-01-29,29.899999618530273,28.18000030517578,21.670122146606445,193888500,10017.0,1070.5,1739.25,1739.25,1739.25,16.183000564575195,1.3866932392120361,10198.0400390625,1.5984909534454346,90.2699966430664,5188.5,29.899999618530273,5.13100004196167,356.5,131.6999969482422,98.875,24.6200008392334,3.6089999675750732,71.45999908447266,,,,,-0.779998779296875,-2.779998779296875,-2.270000457763672,,30.22906602269461,31.707953498471426,23.00886748232538,30.22906602269461,,-85.47484723895298,0.910206755119346,,39.72778936702382,,,,100.0,42.85714285714286,-149.2526545669936,-34.88534468833134,56.64662277103313,,MSFT
2010-02-01,28.389999389648438,28.40999984741211,21.846994400024414,85931100,10137.0,1086.25,1755.75,1755.75,1755.75,16.652999877929688,1.3926994800567627,10205.01953125,1.595252513885498,90.76000213623047,5247.39990234375,29.280000686645508,5.434000015258789,359.0,132.5500030517578,97.7249984741211,22.59000015258789,3.6540000438690186,73.11000061035156,,,,,-0.9099998474121094,-2.450000762939453,-2.25,-2.0699996948242188,26.57469453166624,29.94646341136155,33.185837347063995,26.57469453166624,,-79.05027888314613,0.9206091796991853,,39.3233907242541,,,,92.85714285714286,35.714285714285715,-144.80194673967807,-29.14664348828554,56.64662277103313,,MSFT
2010-02-02,28.3700008392334,28.459999084472656,21.885438919067383,54413700,10224.0,1097.25,1769.0,1769.0,1769.0,16.736000061035156,1.3976240158081055,10371.08984375,1.599206805229187,90.4280014038086,5283.2998046875,29.399999618530273,5.453999996185303,365.0,135.0500030517578,97.2249984741211,21.479999542236328,3.634999990463257,76.05999755859375,,,,,-1.0400009155273438,-2.6400012969970703,-1.8100013732910156,-2.490001678466797,30.5309658581816,29.111575470847473,35.39819274515546,30.5309658581816,,-77.65365211984756,0.9151124995300625,,44.52985679973582,,,,85.71428571428572,28.571428571428573,-113.76355145180497,-27.872997356245644,55.75314922429671,,MSFT
2010-02-03,28.260000228881836,28.6299991607666,22.01616859436035,61397900,10241.0,1096.5,1785.5,1785.5,1785.5,16.309999465942383,1.3901052474975586,10404.330078125,1.5920017957687378,90.83999633789062,5253.2001953125,28.579999923706055,5.419000148773193,353.0,133.0,97.4000015258789,21.600000381469727,3.703000068664551,75.91999816894531,,,,,-1.0400009155273438,-1.960000991821289,-1.4400005340576172,-2.3299999237060547,37.16811644840467,31.424592279417492,42.92031925299458,37.16811644840467,,-72.90504653557818,0.9359267413519292,,44.830140885417904,,,,78.57142857142857,21.42857142857143,-89.73747219255795,-23.416344976618912,43.01553761933066,,MSFT
2010-02-04,28.3799991607666,27.84000015258789,21.40867042541504,77850000,9979.0,1061.75,1734.75,1734.75,1734.75,15.343000411987305,1.3744947910308838,10355.98046875,1.5769885778427124,89.41000366210938,5139.2998046875,27.639999389648438,5.415999889373779,354.0,131.5500030517578,97.25,26.079999923706055,3.609999895095825,72.12999725341797,,,,,-1.3199996948242188,-2.1700000762939453,-2.510000228881836,-2.9300003051757812,28.761042154932383,32.15337482050621,7.964614466647143,28.761042154932383,,-94.97205840749173,0.9276907677526266,,38.68586363920037,,,,71.42857142857143,14.285714285714286,-116.56371691758639,-34.79013774401587,47.9187581730369,,MSFT
